ARCHER (WILLIAM BEATTY),250,SPRAY FEATURE,OUTDOOR,1147567.313,1871683.018,41.803851,-87.734326
ARCHER (WILLIAM BEATTY),250,BASEBALL SR,OUTDOOR,1147312.699,1871848.797,41.804311,-87.735255
ARCHER (WILLIAM BEATTY),250,TENNIS COURT,OUTDOOR,1147660.98,1871419.755,41.803127,-87.733989
ARCHER (WILLIAM BEATTY),250,ARTIFICIAL TURF FIELD,OUTDOOR,1147664.345,1871300.296,41.802799,-87.73398
ARCHER (WILLIAM BEATTY),250,WATER PLAYGROUND,OUTDOOR,1147359.81,1871680.545,41.803849,-87.735087
ARMOUR (PHILIP) SQUARE,3,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1174927.147,1882718.611,41.833567,-87.633654
ARMOUR (PHILIP) SQUARE,3,FITNESS CENTER,INDOOR,1174563.142,1882923.697,41.834138,-87.634983
ARMOUR (PHILIP) SQUARE,3,GYMNASIUM,INDOOR,1174657.251,1882898.838,41.834068,-87.634639
ARMOUR (PHILIP) SQUARE,3,BASEBALL JR/SOFTBALL,OUTDOOR,1175016.627,1882799.935,41.833788,-87.633323
ARMOUR (PHILIP) SQUARE,3,BASEBALL JR/SOFTBALL,OUTDOOR,1175024.768,1882572.905,41.833165,-87.6333
ARMOUR (PHILIP) SQUARE,3,BASEBALL JR/SOFTBALL,OUTDOOR,1174806.783,1882795.412,41.833781,-87.634093
ARMOUR (PHILIP) SQUARE,3,POOL (OUTDOOR),OUTDOOR,1174611.411,1882959.127,41.834234,-87.634805
ARMOUR (PHILIP) SQUARE,3,PLAYGROUND,OUTDOOR,1174832.109,1882986.262,41.834304,-87.633994
ARMOUR (PHILIP) SQUARE,3,VOLLEYBALL (SAND),OUTDOOR,1174659.349,1882781.844,41.833747,-87.634634
ARMOUR (PHILIP) SQUARE,3,SPRAY FEATURE,OUTDOOR,1174960.548,1882972.694,41.834264,-87.633524
ARMOUR (PHILIP) SQUARE,3,BASEBALL SR,OUTDOOR,1174834.822,1882581.95,41.833194,-87.633997
ARMOUR (PHILIP) SQUARE,3,TENNIS COURT,OUTDOOR,1174669.299,1882517.73,41.833022,-87.634606
ARMOUR (PHILIP) SQUARE,3,TENNIS COURT,OUTDOOR,1174623.169,1882515.017,41.833015,-87.634775
ARMOUR (PHILIP) SQUARE,3,VOLLEYBALL,OUTDOOR,1174577.944,1882515.921,41.833019,-87.634941
ARMSTRONG (LILLIAN HARDIN),492,BASKETBALL COURT,OUTDOOR,1181507.27,1875801.175,41.814436,-87.609724
ARMSTRONG (LILLIAN HARDIN),492,BASKETBALL COURT,OUTDOOR,1181508.22,1875735.619,41.814256,-87.609722
ARMSTRONG (LILLIAN HARDIN),492,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1181262.905,1875648.721,41.814023,-87.610625
ARMSTRONG (LILLIAN HARDIN),492,BASEBALL JR/SOFTBALL,OUTDOOR,1181153.836,1875468.643,41.813531,-87.611031
ARMSTRONG (LILLIAN HARDIN),492,BASEBALL JR/SOFTBALL,OUTDOOR,1181131.984,1875821.127,41.814499,-87.6111
ARMSTRONG (LILLIAN HARDIN),492,PLAYGROUND,OUTDOOR,1181512.971,1875560.802,41.813776,-87.60971
ARRIGO (VICTOR),215,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1167845.389,1896587.223,41.871779,-87.659239
ASHE (ARTHUR) BEACH,459,BEACH,OUTDOOR,1195954.263,1857049.868,41.762635,-87.557352
ASHE (ARTHUR) BEACH,459,PLAYGROUND,OUTDOOR,1195828.88,1857026.649,41.762574,-87.557813
ASHE (ARTHUR) BEACH,459,TENNIS COURT,OUTDOOR,1195701.175,1856885.012,41.762189,-87.558286
ASHE (ARTHUR) BEACH,459,TENNIS COURT,OUTDOOR,1195742.969,1856916.745,41.762275,-87.558131
ASHMORE,427,PLAYGROUND PARK,OUTDOOR,1143378.613,1931714.443,41.968664,-87.748187
ASPEN,321,PLAYGROUND PARK,OUTDOOR,1177557.181,1876749.146,41.817127,-87.624184
ASTER,343,PLAYGROUND PARK,OUTDOOR,1168495.129,1931153.565,41.966617,-87.655851
ATHLETIC FIELD,80,BASKETBALL COURT,OUTDOOR,1151806.355,1923875.862,41.946992,-87.717405
ATHLETIC FIELD,80,BASEBALL JR/SOFTBALL,OUTDOOR,1151816.45,1924048.308,41.947465,-87.717363
ATHLETIC FIELD,80,BASEBALL JR/SOFTBALL,OUTDOOR,1151991.42,1924293.098,41.948134,-87.716714
ATHLETIC FIELD,80,BASEBALL JR/SOFTBALL,OUTDOOR,1151998.149,1924049.991,41.947466,-87.716696
ATHLETIC FIELD,80,PLAYGROUND,OUTDOOR,1151999.832,1923861.561,41.946949,-87.716694
ATHLETIC FIELD,80,TENNIS COURT,OUTDOOR,1151988.055,1923938.111,41.947159,-87.716736
ATHLETIC FIELD,80,TENNIS COURT,OUTDOOR,1151986.372,1923986.059,41.947291,-87.716741
AUGUSTA (CARPENTER),1021,PLAYGROUND,OUTDOOR,1146428.219,1906187.874,41.898559,-87.737625
AUSTIN (HENRY),1204,PLAYGROUND,OUTDOOR,1136977.537,1902168.317,41.887704,-87.772434
AUSTIN (HENRY),1204,SPRAY FEATURE,OUTDOOR,1136587.087,1902149.879,41.88766,-87.773869
AUSTIN (HENRY),1204,WATER PLAYGROUND,OUTDOOR,1136447.175,1902168.317,41.887713,-87.774382
AUSTIN FOSTER,285,BASEBALL JR/SOFTBALL,OUTDOOR,1135100.316,1934452.866,41.97633,-87.778561
AUSTIN FOSTER,285,BASEBALL JR/SOFTBALL,OUTDOOR,1134908.141,1934738.053,41.977116,-87.779261
AUSTIN FOSTER,285,PLAYGROUND,OUTDOOR,1134990.392,1934282.983,41.975865,-87.778969
AUSTIN TOWN HALL,207,BASKETBALL COURT,OUTDOOR,1138687.263,1902559.337,41.888746,-87.766146
AUSTIN TOWN HALL,207,FITNESS CENTER,INDOOR,1138768.499,1902448.347,41.88844,-87.76585
AUSTIN TOWN HALL,207,GYMNASIUM,INDOOR,1138767.188,1902664.72,41.889034,-87.76585
AUSTIN TOWN HALL,207,POOL (INDOOR),INDOOR,1138769.154,1902639.804,41.888965,-87.765843
AUSTIN TOWN HALL,207,PLAYGROUND,OUTDOOR,1138861.399,1902450.503,41.888444,-87.765509
AVALON,29,BASKETBALL COURT,OUTDOOR,1186206.929,1849985.731,41.743486,-87.5933
AVALON,29,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1185408.376,1849288.544,41.741592,-87.596248
AVALON,29,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1186006.931,1849244.84,41.741458,-87.594056
AVALON,29,FITNESS CENTER,INDOOR,1185968.927,1850060.015,41.743695,-87.59417
AVALON,29,GYMNASIUM,INDOOR,1185957.527,1850012.511,41.743565,-87.594213
AVALON,29,BASEBALL JR/SOFTBALL,OUTDOOR,1185664.881,1849317.851,41.741666,-87.595307
AVALON,29,BASEBALL JR/SOFTBALL,OUTDOOR,1185899.123,1849414.645,41.741926,-87.594446
AVALON,29,BASEBALL JR/SOFTBALL,OUTDOOR,1186129.493,1849424.325,41.741947,-87.593602
AVALON,29,BASEBALL JR/SOFTBALL,OUTDOOR,1186137.237,1849085.545,41.741017,-87.593584
AVALON,29,BASEBALL JR/SOFTBALL,OUTDOOR,1185906.867,1849083.609,41.741017,-87.594428
AVALON,29,BASEBALL JR/SOFTBALL,OUTDOOR,1185637.779,1849104.904,41.741082,-87.595413
AVALON,29,POOL (OUTDOOR),OUTDOOR,1185968.815,1849736.002,41.742806,-87.59418
AVALON,29,PLAYGROUND,OUTDOOR,1185782.97,1849807.63,41.743007,-87.594859
AVALON,29,SPRAY FEATURE,OUTDOOR,1185949.456,1849842.476,41.743099,-87.594248
AVALON,29,BASEBALL SR,OUTDOOR,1185337.717,1849042.956,41.740919,-87.596515
AVALON,29,TENNIS COURT,OUTDOOR,1185134.449,1849383.671,41.741859,-87.597249
AVALON,29,TENNIS COURT,OUTDOOR,1185136.385,1849279.133,41.741572,-87.597245
AVALON,29,TENNIS COURT,OUTDOOR,1185087.988,1849277.198,41.741568,-87.597422
AVALON,29,TENNIS COURT,OUTDOOR,1185091.86,1849153.301,41.741228,-87.597412
AVALON,29,TENNIS COURT,OUTDOOR,1185144.129,1849155.237,41.741232,-87.59722
AVALON,29,TENNIS COURT,OUTDOOR,1185144.129,1849037.148,41.740908,-87.597224
AVALON,29,TRACK,OUTDOOR,1186156.596,1849871.514,41.743174,-87.593488
